"steps","funnel_name","platform","age_range","user_count","ride_count","download_date","purchased_amount"
"0","download","ios","","14","","2021-10-27",""
"0","download","ios","45-54","2","","2021-11-07",""
"0","download","ios","18-24","5","","2021-02-11",""
"0","download","ios","25-34","5","","2021-04-03",""
"0","download","ios","45-54","7","","2021-03-23",""
"0","download","android","","11","","2021-03-01",""
"0","download","web","","3","","2021-02-02",""
"0","download","ios","45-54","4","","2021-07-29",""
"0","download","ios","35-44","11","","2021-09-03",""
"0","download","android","","12","","2021-06-29",""
"0","download","android","35-44","3","","2021-12-27",""
"6","Review","android","25-34","241","8647","",""
"0","download","ios","","28","","2021-02-11",""
"0","download","ios","25-34","4","","2021-08-05",""
"0","download","web","25-34","1","","2021-03-09",""
"0","download","ios","45-54","7","","2021-03-28",""
"0","download","ios","18-24","5","","2021-02-16",""
"0","download","ios","45-54","2","","2021-05-24",""
"0","download","android","18-24","1","","2021-03-24",""
"0","download","android","45-54","1","","2021-05-29",""
"0","download","ios","","21","","2021-05-02",""
"0","download","android","25-34","1","","2021-10-22",""
"0","download","ios","18-24","2","","2021-03-23",""
"0","download","ios","45-54","1","","2021-04-16",""
"0","download","web","","5","","2021-12-04",""
"0","download","android","45-54","2","","2021-10-20",""
"0","download","android","35-44","6","","2021-01-02",""
"0","download","android","45-54","1","","2021-10-07",""
"0","download","web","35-44","1","","2021-03-15",""
"4","ride_completed","ios","45-54","394","13536","",""
"0","download","ios","45-54","2","","2021-05-02",""
"0","download","web","35-44","3","","2021-09-02",""
"0","download","ios","25-34","10","","2021-04-18",""
"0","download","android","25-34","4","","2021-01-17",""
"0","download","ios","35-44","16","","2021-02-11",""
"0","download","android","18-24","2","","2021-10-21",""
"0","download","ios","","13","","2021-03-30",""
"0","download","ios","25-34","5","","2021-07-26",""
"0","download","android","18-24","1","","2021-05-13",""
"0","download","ios","45-54","1","","2021-01-09",""
"0","download","ios","45-54","4","","2021-02-05",""
"0","download","android","","7","","2021-11-17",""
"0","download","ios","18-24","1","","2021-07-27",""
"0","download","ios","45-54","2","","2021-12-26",""
"0","download","web","25-34","2","","2021-12-20",""
"0","download","ios","45-54","2","","2021-11-21",""
"0","download","web","","4","","2021-07-02",""
"0","download","web","25-34","2","","2021-06-09",""
"0","download","ios","35-44","6","","2021-08-13",""
"0","download","ios","18-24","2","","2021-09-19",""
"0","download","ios","45-54","5","","2021-02-14",""
"0","download","ios","","24","","2021-04-16",""
"0","download","web","25-34","1","","2021-05-21",""
"0","download","android","35-44","3","","2021-10-05",""
"0","download","web","35-44","1","","2021-07-16",""
"0","download","android","","10","","2021-02-27",""
"0","download","android","45-54","2","","2021-10-05",""
"0","download","web","","2","","2021-05-26",""
"0","download","ios","18-24","3","","2021-08-20",""
"0","download","ios","","26","","2021-10-11",""
"0","download","android","25-34","4","","2021-11-29",""
"0","download","ios","35-44","12","","2021-01-01",""
"0","download","android","25-34","10","","2021-07-27",""
"0","download","ios","25-34","8","","2021-04-30",""
"0","download","android","45-54","2","","2021-05-10",""
"0","download","ios","45-54","4","","2021-08-31",""
"0","download","ios","45-54","1","","2021-03-02",""
"0","download","android","35-44","4","","2021-03-05",""
"0","download","web","18-24","2","","2021-08-08",""
"0","download","android","25-34","3","","2021-11-28",""
"0","download","web","","4","","2021-12-21",""
"0","download","android","","10","","2021-11-10",""
"0","download","ios","","18","","2021-03-06",""
"0","download","android","35-44","1","","2021-01-29",""
"0","download","android","","14","","2021-01-31",""
"0","download","web","35-44","1","","2021-10-26",""
"0","download","ios","35-44","11","","2021-05-29",""
"0","download","android","25-34","3","","2021-12-17",""
